"B cells naive"	"B cells memory"	"Plasma cells"	"T cells CD8"	"T cells CD4 naive"	"T cells CD4 memory resting"	"T cells CD4 memory activated"	"T cells follicular helper"	"T cells regulatory (Tregs)"	"T cells gamma delta"	"NK cells resting"	"NK cells activated"	"Monocytes"	"Macrophages M0"	"Macrophages M1"	"Macrophages M2"	"Dendritic cells resting"	"Dendritic cells activated"	"Mast cells resting"	"Mast cells activated"	"Eosinophils"	"Neutrophils"	"P-value"	"Correlation"	"RMSE"
"SUB142631_0.0"	0.0368721014537046	0	0	0.000156537557713512	0.0801276670156301	0.0702187207501183	0.0953058089065498	0.0293866342640385	0	0.350241382866625	0.106210055792425	0	0.131615230371512	0.019559412443081	0.00505310905648293	0	0.0132254251201896	0.000859049603879389	0	0	0.0351959233892505	0.0259729414087994	0	0.645506749530553	0.765991015794748
"SUB142631_1.0"	0.0185866309390124	0.00140940529891804	0	0.0307628076789905	0.0901905488409064	0.027040833040725	0.0800595230044378	0.01193793290805	0	0.304389204502831	0.075915875841266	0	0.207695945070268	0.0280682822424073	0.00405039177201768	0	0.013537798193432	0.00827102791448737	0.0272018519190913	0	0.0430885504657629	0.027793390367396	0	0.655584313233657	0.764322753222745
"SUB142631_3.0"	0.0303129827692152	0	0	0.0833214566910721	0.0517948331559873	0.0635249819411686	0.0645930258026064	0	0	0.344998579745248	0.0995757258297565	0	0.15065353673322	0.00595435203576679	0	0	0.000908191130275708	0.00373690178751124	0.00942624953353428	0	0.0592720472327238	0.0319271356119151	0	0.649594372733551	0.761583618777547
"SUB142631_7.0"	0.0203167408795991	0	0	0.0279640434466113	0.0800519335727983	0.0315873353525057	0.0909226934720021	0.0157863142213779	0	0.300618092114649	0.121416445201703	0	0.0976540553377901	0.0155152546475677	0.00413163028565761	0	0.0150989610040248	0.00958572745989939	0.00839132694641971	0	0.0583016769455618	0.102657769111832	0	0.648044530290678	0.765809775031671
"SUB142631_14.0"	0.0230604820798992	0	0	0.0301944773789412	0.103791570800289	0.0583274567595534	0.0718772336720226	0	0	0.304247515074949	0.0732265259419888	0	0.146939499192492	0.0179588333809243	0.00198856834638997	0	0.0111663154129455	0.0110293913161159	0.00643489919703938	0	0.0648329134917574	0.0749243179546923	0	0.686686746779708	0.74011866069606
"SUB142632_0.0"	0.0396024317278085	0	0	0	0.0965439773285729	0.0356660091271666	0.0678136493425327	0	0	0.261677971154396	0.164858407924297	0	0.199128726770549	0.0166686318161067	0.00224319766500884	0	0.0135432396493478	0.00721755294352772	0.000528900495993768	0	0.064762047803615	0.0297452562510773	0	0.535124182761643	0.844019185955475
"SUB142632_1.0"	0.0169208955850607	0.0137673835530442	0	0	0.0956429977760444	0.0102332128934206	0.0708524961649715	0	0	0.219226743349956	0.103017418504191	0	0.311139731307581	0.0295808277445275	0.00429349538140637	0	0.0076656836276798	0.00771506255632797	0.026112909735543	0	0.0476830777298844	0.0361480640903619	0	0.520017998986297	0.853288769867659
"SUB142632_3.0"	0.016233169957662	0	0	0.00915351958104506	0.0980425054328795	0.0224738670726145	0.0694085769289752	0	0	0.235573534658274	0.201580169360332	0	0.226617737312993	0.00587450587905862	0	0	0.00317729015713145	0.00432709643964839	0.0213598671797501	0	0.0513316537831919	0.0348465062564439	0	0.473263187681285	0.884715967256098
"SUB142632_7.0"	0.0172702260007882	0	0	0	0.147608427756642	0.0462197475219006	0.070543656825445	0.0073451326360494	0	0.260427947196393	0.202993884742622	0	0.140589725022861	0.0150149958039723	0.00402220251589289	0	0.0121283114853088	0.0055709939022828	0	0	0.0347448269696621	0.0355199216201795	0	0.511781090995518	0.861363109302755
"SUB142632_14.0"	0.0346771833882539	0	0	0	0.107182625885201	0.0639597423284042	0.0780017317305117	0	0	0.253360406127618	0.134265479739522	0	0.180937504069893	0.0189846052509545	0.00204603836605394	0	0.0145726764145034	0.00791703217559673	0.00923499716572863	0	0.0512708092743882	0.0435891680833711	0	0.501304971525476	0.86496417248127
"SUB142633_0.0"	0.0272135644450046	0	0	0.0563343665759684	0.0978811877132138	0	0.123665300340661	0	0	0.273739468330722	0.188643283757111	0	0.115056691822459	0.00320635991183927	0	0	0.00170008004251621	0.000376505929754537	0.0302940305450105	0	0.0531808497215817	0.0287083108641591	0	0.671160281075992	0.745124257690922
"SUB142633_1.0"	0.0125166149271131	0	0	0.00780568239579187	0.0687900784694744	0.0061726926969032	0.112990813816065	0	0	0.273359114907491	0.197445439283295	0	0.275427256623988	0.00322381060273058	0	0	0	0.00186282469064938	0.0238023992424542	0	0.0052751804443206	0.0113280918997236	0	0.66740951758849	0.747831239548006
"SUB142633_3.0"	0.0334322569095515	0	0	0.0431317662821641	0.0891620308377463	0	0.13657024028429	0	0	0.270638143952542	0.19120146787541	0	0.159617880676655	0.00351197726095233	0	0	0.000931957921259318	0.00075102609124185	0.0277291402601354	0	0.0183797595914223	0.0249423520566295	0	0.70595740100941	0.717454470296622
