Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
SUB142635_1.0,0.0300121439771193,0,0,0.0116266085842978,0.163603603747561,0,0.038901866798498,0.00337602605552412,0,0.125321670771467,0.104881806981074,0,0.283175924279988,0.00150388483437426,0,0,0.0015792252674509,0.00043847569001066,0.0285063487852677,0,0.0681200456167347,0.138952368610634,0,0.636667922161986,0.778427329833825
SUB142635_3.0,0.0290346194922016,0,0,0.0182202302376014,0.142339103415206,0,0.0788088483183019,0,0,0.187888441877077,0.114332476719356,0,0.294267748313649,0.000163966538253172,0,0,0.00512662310871583,0.00328337858231165,0.0284550009563437,0,0.0339677223089849,0.0641118401319982,0,0.64476709005343,0.773654977651371
SUB142635_7.0,0.0291879993581538,0.00416861146114571,0,0,0.21236692951046,0.0217053792294838,0.0730301650406134,0,0,0.166572002877362,0.0659619166960271,0,0.228061663597647,0.00917857080030491,0.00563066326971432,0,0.0219325428521954,0,0.0177498586302854,0,0.0608922072166684,0.0835614894599387,0,0.66095305211724,0.768545625851019
SUB142635_14.0,0.044496421392549,0,0,0.0251405838495161,0.154468140927217,0.0116544691998851,0.0524041463033756,0,0,0.17058309196592,0.129443371266432,0,0.321401293026877,0.00683957643942637,0,0,0.00170062393185805,0.00329092294214963,0.0121788565760156,0,0.0405932428161035,0.0258052593626752,0,0.622226781514338,0.788426890127929
SUB142636_0.0,0.0445591402868908,0,0,0.0425605547020747,0.105760412226503,0.0219994856991109,0.0832513106451278,0,0,0.157151696653956,0.14347587337991,0,0.281887361172321,0,0,0,0,0.000943177435783254,0.0173230968668445,0,0.011176331825882,0.0899115591055962,0,0.614470408091277,0.792251913634527
SUB142636_1.0,0.0393526559757979,0,0,0,0.121132305388914,0,0.0810162717453537,0.0200025789327949,0,0.191023373271532,0.110494534301704,0,0.245886332731021,0.0154379862226597,0.00409454516934553,0,0.0124623537903234,0.00729231307296373,0,0,0.0535933150464582,0.0982114343511322,0,0.591376546768434,0.809243692619439
SUB142636_3.0,0.0369984682658747,0,0,0,0.175358984426639,0.00880237761750027,0.0944276901735788,0,0,0.201440117212605,0.116374984264138,0,0.193734599942972,0.011085493294652,0.00245367803383527,0,0.0168095287805855,0.00976353555902812,0.00860936913749121,0,0.0602440815541463,0.063897091736953,0,0.572322510782152,0.821965057462835
SUB142636_7.0,0.0393078000613311,0,0,0.0049307172512845,0.173523119025952,0,0.0852734775355984,0,0,0.204275601606113,0.108636483879694,0,0.210345062254153,0.0178555106738281,0.00168559479926248,0,0.00976322428368731,0.00945019631892818,0,0,0.0433329224382608,0.0916202898719075,0,0.634122622181947,0.781432860485852
SUB142636_14.0,0.0531424933728991,0,0,0.0650903568728882,0.140858729784979,0,0.0726689675555493,0.000272863667892053,0,0.183229766414388,0.0984352207573255,0,0.241933383777191,0.0216214549857073,0.00387925154250431,0,0.0157921840751745,0.00753033238862203,0.0119555431998976,0,0.0504197452017565,0.0331697064032257,0,0.654024716441761,0.771168816342676
SUB142641_0.0,0.064474216880072,0,0,0.0197324143457869,0.187644312956549,0,0.0732169664138086,0.019581490345312,0,0.183038608106278,0.0980070926729795,0,0.224155569867623,0.018310815379254,0,0,0.00893773932194056,0.00797017505602935,0,0,0.0402493228570012,0.0546812757973656,0,0.696220071734198,0.742508468517479
SUB142641_1.0,0.0550088162988691,0,0,0.0204016947512189,0.146030765586069,0,0.0755012336651678,0,0,0.183861055891935,0.071710954698945,0,0.275128596463766,0.0212252541158128,0.00437733548460878,0,0.0071634703793918,0.0095445301391668,0.00429237654242604,0,0.0611928920118156,0.0645610239708067,0,0.574531280491093,0.821294543812779
SUB142641_3.0,0.0665928430194143,0,0,0.00658651259160627,0.146815321193248,0.00928898345028931,0.0992341158148773,0.0293943244004295,0,0.280132040844549,0.0819474054003942,0,0.154640274714118,0.0165570445579089,0.00356359555689976,0,0.0127436003499485,0.00054736668523023,0.012249712326609,0,0.0447615252577812,0.0349453338366963,0,0.617640812173663,0.791413103064519
SUB142641_7.0,0.0505793331216377,0,0,0.0349231036069911,0.0903089183156149,0,0.0799516895645088,0.00300848256863677,0,0.209378974640853,0.0723729188878878,0,0.140807371795958,0,0,0,0.0107907312530758,0.00378526237047246,0.0272909564730302,0,0.0822133401355943,0.19458891726574,0,0.676219524070074,0.75023384427043
SUB142641_14.0,0.0460363384880395,0,0,0,0.153371058740716,0.0388915554772283,0.0773698801368509,0.0160787564539543,0,0.216408878601407,0.0752731548699216,0,0.18132494989569,0.0141754137541123,0.00535191691034961,0,0.0182112698240765,0,0.00226703857538314,0,0.0441261712938981,0.111113616978373,0,0.669434754126963,0.758282899949626
SUB142602_0.0,0.0398873737850495,0,0,0.0161335325094666,0.0470169170993499,0.0307077227836142,0.104925077066062,0.0186962918513472,0,0.27194506537658,0.109113106044147,0,0.158563120630014,0.0158204133580306,0.00288201692535678,0,0.015703814820701,0.00726570002867655,0.00245887939763047,0,0.0878319663622926,0.0710490019616812,0,0.576393668161286,0.81774369853832
SUB142602_1.0,0.0332705145646528,0,0,0.0391059792661465,0.100892246111904,0,0.122971397189803,0,0,0.273011290974265,0.0651879481551131,0,0.189549674617734,0.0196974765414774,0.00432672712136196,0,0.00753825860524814,0.00785245180076234,0.021341673639112,0,0.0509757294409236,0.0642786319714966,0,0.531659075584137,0.846195948725335
SUB142602_3.0,0.0403031216765112,0,0,0,0.107519666505172,0.0199225229173315,0.0963134742166644,0,0,0.307981867043437,0.132110005637774,0,0.17020603640931,0.0144110039002652,0.00374481709452802,0,0.0151924162366233,0.00307311690729552,0.00614458548298201,0,0.0411124592881045,0.0419649066840006,0,0.567661546745871,0.822499009591449
SUB142602_7.0,0.0527699011130249,0,0,0.00903978646729651,0.0864214220023866,0.0406746887545606,0.0905690651206784,0.0267630407575261,0,0.300855920346288,0.0936615215564539,0,0.119371494596001,0.0122874684501712,0.00180174522903501,0,0.0163779148228281,0.00855043634526292,0,0,0.0695276439626086,0.0713279504758776,0,0.545147168179991,0.837561703716917
SUB142602_14.0,0.0460859589599778,0,0,0.0118452888986711,0.083599172300279,0.0349709256398517,0.0886694792934507,0.00378762387294032,0,0.310889105034694,0.0916380591513672,0,0.155034335023443,0.0172159582541771,0.000663118875095345,0,0.0166784245882308,0.00881687463266583,0.0207546561480128,0,0.048060112448886,0.0612909068782578,0,0.612092477590086,0.793608481474725
SUB142610_0.0,0.0560748967402085,0,0,0,0.182283307980133,0.0378392130088928,0.0869797060969059,0.00465579586502247,0,0.225491470329866,0.13816894540491,0,0.132530343208113,0.0153876780658031,0.00409779877296898,0,0.0137731463434605,0.00736301605707367,0,0,0.0549456983736694,0.0404089837529728,0,0.661125944730203,0.761224903714187
SUB142610_1.0,0.0274452757029037,0,0,0.0231284830156146,0.131554448793023,0,0.112830725077224,0,0,0.205791468594626,0.118955505637937,0,0.270081442785425,0,0,0,0,0.0113708415951958,0.0231768954312091,0,0.0232900090857695,0.0523749042810715,0,0.564973201382513,0.825263369971129
SUB142610_3.0,0.0386538093179412,0,0,0.0331657407629793,0.139380856008525,0.0282417400942742,0.0901253155688135,0,0,0.252385374420894,0.148158807647316,0,0.217442436528997,0.00215974730208656,0,0,0,0.00273373102835528,0.0208910215523923,0,0.0215985462120904,0.00506287355533482,0,0.678832599604071,0.743249081585593
SUB142610_7.0,0.0693458098002153,0,0,0.00814339540420562,0.180887638884012,0.0145283454154274,0.0865063649990514,0.022882532763063,0,0.256266707528424,0.108360765486984,0,0.122939945974529,0.0159705539497204,0.00499711570193213,0,0.0147294393955311,0.00363458185625375,0,0,0.0512754544083142,0.0395313484323367,0,0.612157528469722,0.794189149915571
SUB142610_14.0,0.0507628437266352,0,0,0.0349603964135818,0.133456359670365,0.0182136625362916,0.106570611839726,0,0,0.286836463923558,0.18696771571485,0,0.128869321268616,0.00098189955825931,0,0,0,0.0010048554811739,0.0236687716217967,0,0.013729416286382,0.0139776819587641,0,0.716609440236928,0.706565927638759
SUB142603_0.0,0.0936546953542424,0,0,0,0.205587333607311,0.014202565261182,0.083342095190374,0.00475813070995463,0,0.136621419211679,0.132840367981403,0,0.150601163885565,0.0197917563344472,0.00539518685249467,0,0.0130900498567293,0,0.0196523908047618,0,0.0395356716872923,0.0809271732625634,0,0.5183672372974,0.854875988926999
